"region","value","period","indID","source","is_number","dsID"
"SSD","249344","2014-03-03","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","159840","2014-01-28","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","306087","2014-03-31","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","273479","2014-03-16","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","193906","2014-02-13","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110906","2013-12-31","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","197793","2014-02-19","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","113933","2014-01-07","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110301","2013-12-28","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","322132","2014-04-30","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109806","2013-12-21","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110283","2013-12-27","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","111750","2014-01-03","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","356559","2014-05-14","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","266476","2014-03-14","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","277573","2014-03-18","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","175863","2014-02-04","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","320565","2014-04-09","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","147367","2014-01-14","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","259177","2014-03-06","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","301184","2014-03-27","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110466","2013-12-29","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","115359","2014-01-09","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","265850","2014-03-12","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","317265","2014-04-27","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","150546","2014-01-21","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","160405","2014-01-29","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","175255","2014-02-03","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","302151","2014-03-28","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","302968","2014-03-29","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
